# 2016-06-06 12:41:52.606402
#
# Simulation of heat flow through 1-dimensional rod
#
# Dimensions
#   dim x =           11
#   min x =           0.0
#   max x =           1.0
#
# Thermodynamical parameters
#   initial temp =    300.0
#   alpha =           1.0
#
# Boundary conditions:
#   method =          Dirichlet
#   x0 order =        1
#   x1 order =        1
#
# Finite differencing
#   num steps =       100000
#   time step =       0.01
#   method =          Implicit
#   write period =    1000
#
       3      331.98010838
       4      307.02038855
       5      301.28300784
       6      300.20019115
       7      300.02720049
       8      300.00326889
       9      300.00034892
      10      300.00000000
Step= 11000
       0     1000.00000000
       1      647.60850367
       2      430.19492331
       3      338.15712326
       4      309.07363045
       5      301.80387069
       6      300.30701952
       7      300.04558783
       8      300.00599483
       9      300.00069966
      10      300.00000000
Step= 12000
       0     1000.00000000
       1      660.42022034
       2      442.46596980
       3      344.54775428
       4      311.37760319
       5      302.43957807
       6      300.44906803
       7      300.07225223
       8      300.01030857
       9      300.00130424
      10      300.00000000
Step= 13000
       0     1000.00000000
       1      671.99675348
       2      454.20115839
       3      351.08687166
       4      313.91372581
       5      303.19461732
       6      300.63143577
       7      300.10929772
       8      300.01679851
       9      300.00228733
      10      300.00000000
Step= 14000
       0     1000.00000000
       1      682.51354641
       2      465.40495381
       3      357.71921925
       4      316.66165587
       5      304.07133062
       6      300.85879885
       7      300.15894832
       8      300.02615610
       9      300.00380920
      10      300.00000000
Step= 15000
       0     1000.00000000
       1      692.11509968
       2      476.09082859
       3      364.39852689
       4      319.60027971
       5      305.07014939
       6      301.13531161
       7      300.22349213
       8      300.03916872
       9      300.00606829
      10      300.00000000
Step= 16000
       0     1000.00000000
       1      700.92122925
       2      486.27789875
       3      371.08649811
       4      322.70845860
       5      306.18985683
       6      301.46454344
       7      300.30522738
       8      300.05670909
       9      300.00930253
      10      300.00000000
Step= 17000
       0     1000.00000000
       1      709.03193557
       2      495.98857554
       3      377.75178438
       4      325.96557092
       5      307.42785648
       6      301.84944663
       7      300.40641301
       8      300.07972198
       9      300.01378929
      10      300.00000000
Step= 18000
       0     1000.00000000
       1      716.53121315
       2      505.24694122
       3      384.36900933
       4      329.35188903
       5      308.78043153
       6      302.29234979
       7      300.52922524
       8      300.10920897
       9      300.01984408
      10      300.00000000
Step= 19000
       0     1000.00000000
       1      723.49004790
       2      514.07764014
       3      390.91787594
       4      332.84882585
       5      310.24298529
       6      302.79497151
       7      300.67572089
       8      300.14621229
       9      300.02781802
      10      300.00000000
Step= 20000
       0     1000.00000000
       1      729.96878875
       2      522.50513554
       3      397.38237057
       4      336.43908096
       5      311.81025752
       6      303.35844933
       7      300.84780796
       8      300.19179822
       9      300.03809429
      10      300.00000000
Step= 21000
       0     1000.00000000
       1      736.01903492
       2      530.55322477
       3      403.75006621
       4      340.10671118
       5      313.47651425
       6      303.98337935
       7      301.04722310
       8      300.24704087
       9      300.05108373
      10      300.00000000
Step= 22000
       0     1000.00000000
       1      741.68514612
       2      538.24473650
       3      410.01152079
       4      343.83714563
       5      315.23571075
       6      304.66986300
       7      301.27551576
       8      300.31300670
       9      300.06721984
      10      300.00000000
Step= 23000
       0     1000.00000000
       1      747.00545794
       2      545.60135494
       3      416.15976281
       4      347.61716119
       5      317.08162889
       6      305.41755769
       7      301.53403827
       8      300.39074026
       9      300.08695324
      10      300.00000000
Step= 24000
       0     1000.00000000
       1      752.01326533
       2      552.64353179
       3      422.18985502
       4      351.43483095
       5      319.00799063
       6      306.22572893
       7      301.82394116
       8      300.48125128
       9      300.11074601
      10      300.00000000
Step= 25000
       0     1000.00000000
       1      756.73762285
       2      559.39045829
       3      428.09852666
       4      355.27945489
       5      321.00855013
       6      307.09330207
       7      302.14617295
       8      300.58550347
       9      300.13906591
      10      300.00000000
Step= 26000
       0     1000.00000000
       1      761.20399935
       2      565.86007713
       3      433.88386502
       4      359.14148018
       5      323.07716695
       6      308.01891230
       7      302.50148368
       8      300.70440490
       9      300.17238071
      10      300.00000000
Step= 27000
       0     1000.00000000
       1      765.43481639
       2      572.06912049
       3      439.54505775
       4      363.01241623
       5      325.20786293
       6      309.00095181
       7      302.89043140
       8      300.83880016
       9      300.21115276
      10      300.00000000
Step= 28000
       0     1000.00000000
       1      769.44989326
       2      578.03316416
       3      445.08217839
       4      366.88474830
       5      327.39486498
       6      310.03761373
       7      303.31339097
       8      300.98946410
       9      300.25583394
      10      300.00000000
Step= 29000
       0     1000.00000000
       1      773.26681680
       2      583.76669079
       3      450.49600834
       4      370.75185246
       5      329.63263628
       6      311.12693212
       7      303.77056456
       8      301.15709721
       9      300.30686097
      10      300.00000000
Step= 30000
       0     1000.00000000
       1      776.90125012
       2      589.28315765
       3      455.78788951
       4      374.60791366
       5      331.91589761
       6      312.26681826
       7      304.26199342
       8      301.34232240
       9      300.36465131
      10      300.00000000
Step= 31000
       0     1000.00000000
       1      780.36719160
       2      594.59506554
       3      460.95960267
       4      378.44784804
       5      334.23964069
       6      313.45509287
       7      304.78757026
       8      301.54568314
       9      300.42959945
      10      300.00000000
Step= 32000
       0     1000.00000000
       1      783.67719310
       2      599.71402672
       3      466.01326723
       4      382.26723024
       5      336.59913505
       6      314.68951459
       7      305.34705213
       8      301.76764278
       9      300.50207391
      10      300.00000000
Step= 33000
       0     1000.00000000
       1      786.84254476
       2      604.65083043
       3      470.95125891
       4      386.06222606
       5      338.98992973
       6      315.96780487
       7      305.94007335
       8      302.00858489
       9      300.58241465
      10      300.00000000
Step= 34000
       0     1000.00000000
       1      789.87343203
       2      609.41550529
       3      475.77614229
       4      389.82953052
       5      341.40785090
       6      317.28766937
       7      306.56615815
       8      302.26881449
       9      300.67093109
      10      300.00000000
Step= 35000
       0     1000.00000000
       1      792.77906973
       2      614.01737790
       3      480.49061567
       4      393.56631127
       5      343.84899636
       6      318.64681637
       7      307.22473315
       8      302.54856012
       9      300.76790057
      10      300.00000000
Step= 36000
       0     1000.00000000
       1      795.56781701
       2      618.46512758
       3      485.09746620
       4      397.27015710
       5      346.30972768
       6      320.04297224
       7      307.91513914
       8      302.84797639
       9      300.87356744
      10      300.00000000
Step= 37000
       0     1000.00000000
       1      798.24727610
       2      622.76683721
       3      489.59953347
       4      400.93903141
       5      348.78666056
       6      321.47389438
       7      308.63664240
       8      303.16714714
       9      300.98814239
      10      300.00000000
Step= 38000
       0     1000.00000000
       1      800.82437777
       2      626.93004011
       3      493.99968014
       4      404.57123013
       5      351.27665411
       6      322.93738189
       7      309.38844525
       8      303.50608896
       9      301.11180236
      10      300.00000000
Step= 39000
       0     1000.00000000
       1      803.30545524
       2      630.96176335
       3      498.30076833
       4      408.16534393
       5      353.77679919
       6      324.43128418
       7      310.16969593
       8      303.86475501
       9      301.24469071
      10      300.00000000
Step= 40000
       0     1000.00000000
       1      805.69630848
       2      634.86856742
       3      502.50564082
       4      411.72022428
       5      356.28440646
       6      325.95350787
       7      310.97949774
       8      304.24303899
       9      301.38691775
      10      300.00000000
Step= 41000
       0     1000.00000000
       1      808.00226035
       2      638.65658270
       3      506.61710617
       4      415.23495304
       5      358.79699411
       6      327.50202204
       7      311.81691744
       8      304.64077932
       9      301.53856156
      10      300.00000000
Step= 42000
       0     1000.00000000
       1      810.22820566
       2      642.33154288
       3      510.63792717
       4      418.70881528
       5      361.31227572
       6      329.07486225
       7      312.68099289
       8      305.05776332
       9      301.69966899
      10      300.00000000
Step= 43000
       0     1000.00000000
       1      812.37865427
       2      645.89881550
       3      514.57081181
       4      422.14127500
       5      363.82814827
       6      330.67013332
       7      313.57074005
       8      305.49373143
       9      301.87025687
      10      300.00000000
Step= 44000
       0     1000.00000000
       1      814.45776900
       2      649.36343002
       3      518.41840664
       4      425.53195347
       5      366.34268042
       6      332.28601114
       7      314.48515925
       8      305.94838134
       9      302.05031345
      10      300.00000000
Step= 45000
