# 2016-06-28 17:09:55.759964
#
# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                     11
#   min x =                     0.0
#   max x =                     0.33
# 
# Thermodynamical parameters
#   initial temp =              300.0
#   k c =                       1.95
#   area =                      0.0003877733785771607
#   stop time =                 900.0
#   u amb =                     300.0
#   perim =                     0.0698061887627652
#   emiss =                     0.01
#   power cool =                -10.0
#   power heat =                10.0
#   c =                         380.0
#   rho =                       8730
#   k =                         125.0
# 
# Boundary conditions:
#   method =                    Simple heat-diffusion BC
#   x0 order =                  None
#   x1 order =                  None
# 
# Finite differencing
#   time step =                 0.5
#   method =                    Explicit for simple convection-diffusion equation
# 
Step= 0             Time=       0.0000
      10      301.24955082
Step= 891           Time=     445.5000
       0      326.36807964
       1      320.58307988
       2      315.75984276
       3      311.82776161
       4      308.69818756
       5      306.27144113
       6      304.44462263
       7      303.11931982
       8      302.20849154
       9      301.64207052
      10      301.37109398
Step= 918           Time=     459.0000
       0      326.79704688
       1      320.99886826
       2      316.15038578
       3      312.18349311
       4      309.01285386
       5      306.54249025
       6      304.67317767
       7      303.30981351
       8      302.36807817
       9      301.77993372
      10      301.49773971
Step= 945           Time=     472.5000
       0      327.21926153
       1      321.40853114
       2      316.53597273
       3      312.53582270
       4      309.32586347
       5      306.81362668
       6      304.90340337
       7      303.50329223
       8      302.53163982
       9      301.92242316
      10      301.62933128
Step= 972           Time=     486.0000
       0      327.63501868
       1      321.81232341
       2      316.91678660
       3      312.88484453
       4      309.63722148
       5      307.08478043
       6      305.13517712
       7      303.69960443
       8      302.69901485
       9      302.06937768
      10      301.76571027
Step= 999           Time=     499.5000
       0      328.04459502
       1      322.21048544
       2      317.29300242
       3      313.23065226
       4      309.94693892
       5      307.35589139
       6      305.36838694
       7      303.89860726
       8      302.87004681
       9      302.22063774
      10      301.90671778
Step= 1026          Time=     513.0000
       0      328.44825061
       1      322.60324425
       2      317.66478767
       3      313.57333862
       4      310.25503165
       5      307.62690790
       6      305.60293024
       7      304.10016579
       8      303.04458435
       9      302.37604603
      10      302.05219530
Step= 1053          Time=     526.5000
       0      328.84623029
       1      322.99081464
       2      318.03230267
       3      313.91299507
       4      310.56151947
       5      307.89778560
       6      305.83871281
       7      304.30415247
       8      303.22248121
       9      302.53544789
      10      302.20198549
Step= 1080          Time=     540.0000
       0      329.23876508
       1      323.37340013
       2      318.39570096
       3      314.24971150
       4      310.86642528
       5      308.16848641
       6      306.07564784
       7      304.51044648
       8      303.40359612
       9      302.69869174
      10      302.35593283
Step= 1107          Time=     553.5000
       0      329.62607327
       1      323.75119384
       2      318.75512963
       3      314.58357602
       4      311.16977447
       5      308.43897763
       6      306.31365517
       7      304.71893330
       8      303.58779270
       9      302.86562932
      10      302.51388413
Step= 1134          Time=     567.0000
       0      330.00836150
       1      324.12437921
       2      319.11072965
       3      314.91467476
       4      311.47159428
       5      308.70923123
       6      306.55266055
       7      304.92950419
       8      303.77493939
       9      303.03611593
      10      302.67568896
Step= 1161          Time=     580.5000
       0      330.38582563
       1      324.49313072
       2      319.46263615
       3      315.24309181
       4      311.77191341
       5      308.97922315
       6      306.79259504
       7      305.14205583
       8      303.96490928
       9      303.21001061
      10      302.84119997
Step= 1188          Time=     594.0000
       0      330.75865158
       1      324.85761450
       2      319.81097873
       3      315.56890904
       4      312.07076154
       5      309.24893278
       6      307.03339445
       7      305.35648993
       8      304.15758005
       9      303.38717625
      10      303.01027315
Step= 1215          Time=     607.5000
       0      331.12701603
       1      325.21798885
       2      320.15588170
       3      315.89220610
       4      312.36816907
       5      309.51834248
       6      307.27499890
       7      305.57271289
       8      304.35283381
       9      303.56747965
      10      303.18276807
Step= 1242          Time=     621.0000
       0      331.49108708
       1      325.57440480
       2      320.49746431
       3      316.21306037
       4      312.66416677
       5      309.78743714
       6      307.51735239
       7      305.79063551
       8      304.55055699
       9      303.75079159
